year,age,age_cat,pop,abbrev,division,pop_std,opioid_deaths,mx,y
1999,35,35-39,418658,MN,West North Central,22179956,12,2.8663013724806407e-5,-10.459902986702968
1999,35,35-39,441021,WI,East North Central,22179956,8,1.8139725772695632e-5,-10.917406230663016
1999,35,35-39,449019,MO,West North Central,22179956,19,4.2314467761943256e-5,-10.070381502920995
1999,35,35-39,453698,TN,East South Central,22179956,18,3.96739681462118e-5,-10.134815299546924
1999,35,35-39,467375,MD,South Atlantic,22179956,106,2.2679860925381117e-4,-8.391448118167348
1999,35,35-39,482834,IN,East North Central,22179956,4,8.284420732591325e-6,-11.701133827141284
1999,35,35-39,491019,WA,Pacific,22179956,47,9.571931025072349e-5,-9.254090500855586
1999,35,35-39,542130,MA,New England,22179956,59,1.0882998542784941e-4,-9.1257236601546
1999,35,35-39,610098,VA,South Atlantic,22179956,40,6.556323738153543e-5,-9.63249542486951
1999,35,35-39,655682,NC,South Atlantic,22179956,25,3.8128238993902534e-5,-10.174555369428242
1999,35,35-39,693333,GA,South Atlantic,22179956,13,1.875000901442741e-5,-10.884316324778508
1999,35,35-39,733237,NJ,Middle Atlantic,22179956,75,1.022861639551741e-4,-9.187736143858803
1999,35,35-39,797517,MI,East North Central,22179956,18,2.2570051798268876e-5,-10.698886672132197
1999,35,35-39,897269,OH,East North Central,22179956,30,3.343478934410974e-5,-10.305913602938483
1999,35,35-39,964553,PA,Middle Atlantic,22179956,64,6.635197858489891e-5,-9.620536977210197
1999,35,35-39,1009780,IL,East North Central,22179956,82,8.120580720552992e-5,-9.4185237960444
1999,35,35-39,1260288,FL,South Atlantic,22179956,62,4.9195104611009544e-5,-9.91971643919267
1999,35,35-39,1577435,NY,Middle Atlantic,22179956,128,8.114438946771182e-5,-9.41928040419156
1999,35,35-39,1697408,TX,West South Central,22179956,65,3.8293680717894576e-5,-10.17022566970158
1999,35,35-39,2830371,CA,Pacific,22179956,266,9.398061243561357e-5,-9.27242204765183
1999,40,40-44,41649,DC,South Atlantic,22479229,6,1.4406108189872507e-4,-8.845273168474858
1999,40,40-44,42628,WY,Mountain,22479229,1,2.34587595007976e-5,-10.660266593340847
1999,40,40-44,52562,VT,New England,22479229,5,9.512575624976219e-5,-9.260310791750824
1999,40,40-44,58288,SD,West North Central,22479229,1,1.7156189953335162e-5,-10.973151519248345
1999,40,40-44,59162,AK,Pacific,22479229,7,1.1831919137284067e-4,-9.04212457382409
1999,40,40-44,61972,DE,South Atlantic,22479229,3,4.840895888465759e-5,-9.935825660448073
1999,40,40-44,75619,MT,Mountain,22479229,1,1.3224189687776882e-5,-11.233462853342674
1999,40,40-44,83913,RI,New England,22479229,10,1.1917104620261461e-4,-9.034950733823024
1999,40,40-44,95723,HI,Pacific,22479229,8,8.357448053236944e-5,-9.389772341263795
1999,40,40-44,97538,ID,Mountain,22479229,4,4.100965777440587e-5,-10.101702963525486
1999,40,40-44,108096,ME,New England,22479229,4,3.7004144464179985e-5,-10.204480639047581
1999,40,40-44,109702,NH,New England,22479229,12,1.093872490929974e-4,-9.120616227849695
1999,40,40-44,133007,NE,West North Central,22479229,1,7.5184012871503e-6,-11.798157037397845
1999,40,40-44,140390,NM,Mountain,22479229,30,2.136904337915806e-4,-8.450982161303841
1999,40,40-44,143766,WV,South Atlantic,22479229,11,7.651322287606249e-5,-9.478046984015183
1999,40,40-44,147706,UT,Mountain,22479229,31,2.0987637604430424e-4,-8.468991886093463
1999,40,40-44,151337,NV,Mountain,22479229,32,2.114486212889115e-4,-8.461528514337019
1999,40,40-44,194986,AR,West South Central,22479229,7,3.590001333429067e-5,-10.2347728910414
1999,40,40-44,211168,MS,East South Central,22479229,4,1.8942263979390816e-5,-10.874114943063258
1999,40,40-44,212236,KS,West North Central,22479229,6,2.8270415952053375e-5,-10.4736946728172
1999,40,40-44,226687,IA,West North Central,22479229,5,2.2056844900678026e-5,-10.7218875779091
1999,40,40-44,262529,OK,West South Central,22479229,27,1.0284578084706833e-4,-9.182279965097917
1999,40,40-44,273153,OR,Pacific,22479229,23,8.420189417652377e-5,-9.382293140810788
1999,40,40-44,286444,CT,New England,22479229,31,1.0822359693343202e-4,-9.13131112906832
1999,40,40-44,307600,SC,South Atlantic,22479229,11,3.576072821846554e-5,-10.238660243815255
1999,40,40-44,318015,KY,East South Central,22479229,9,2.8300551860761285e-5,-10.472629253124955
1999,40,40-44,344000,AL,East South Central,22479229,7,2.0348837209302324e-5,-10.802486787300221
1999,40,40-44,347893,LA,West South Central,22479229,7,2.0121129197770577e-5,-10.81374009115795
1999,40,40-44,367106,CO,Mountain,22479229,38,1.035123370361694e-4,-9.175819753945321
1999,40,40-44,368155,AZ,Mountain,22479229,52,1.4124485610680283e-4,-8.865015605543826
1999,40,40-44,404383,MN,West North Central,22479229,14,3.462064429019024e-5,-10.271060398043042
1999,40,40-44,435951,WI,East North Central,22479229,19,4.3582879727308806e-5,-10.040846151527926
1999,40,40-44,437805,MO,West North Central,22479229,33,7.537602357213828e-5,-9.493021323279267
1999,40,40-44,444074,MD,South Atlantic,22479229,116,2.6121772497376565e-4,-8.250156303087318
1999,40,40-44,445882,TN,East South Central,22479229,19,4.2612170933116834e-5,-10.063370642838857
1999,40,40-44,479433,IN,East North Central,22479229,12,2.502956617504427e-5,-10.595452784870385
